Acetic,CH3CO2H,1.75*10**5
Arsenic,H3AsO4,5.5*10**3
Benzoic,C6H5CO2H,6.25*10**5
Boric,H3BO3,5.4*10**10
Bromoacetic,CH2BrCO2H,1.3*10**3
Carbonic,H2CO3,4.5*10**7
Chloroacetic,CH2ClCO2H,1.3*10**3
Chlorous,HClO2,1.1*10**2
Chromic,H2CrO4,1.8*10**1
Citric,C6H8O7,7.4*10**4
Cyanic,HCNO,3.5*10**4
Dichloroacetic,CHCl2CO2H,4.5*10**2
Fluoroacetic,CH2FCO2H,2.6*10**3
Formic,CH2O2,1.8*10**4
Hydrazoic,HN3,2.5*10**5
Hydrocyanic,HCN,6.2*10**10
Hydrofluoric,HF,6.3*10**4
Hydrogen selenide,H2Se,1.3*10**4
Hydrogen sulfide,H2S,8.9*10**8
Hydrogen telluride,H2Te,2.5*10**3
Hypobromous,HBrO,2.8*10**9
Hypochlorous,HClO,4.0*10**8
Hypoiodous,HIO,3.2*10**11
Iodic,HIO3,1.7*10**1
Iodoacetic,CH2ICO2H,6.6*10**4
Nitrous,HNO2,5.6*10**4
Oxalic,C2H2O4,5.6*10**2
Periodic,HIO4,2.3*10**2
Phenol,C6H5OH,1.0*10**10
Phosphoric,H3PO4,6.9*10**3
Phosphorous,H3PO3,5.0*10**2
Pyrophosphoric,H4P2O7,1.2*10**1
Resorcinol,C6H4(OH)2,4.8*10**10
Selenious,H2SeO3,2.4*10**3
Sulfurous,H2SO3,1.4*10**2
meso-Tartaric,C4H6O6,6.8*10**4
Telluric,H2TeO4,2.1*10**8‡
Tellurous,H2TeO3,5.4*10**7
Trichloroacetic,CCl3CO2H,2.2*10**1
Trifluoroacetic,CF3CO2H,3.0*10**1
